"period","month","day","airline","src","dst","distance","SrcWeather","DstWeather","arrivalDelay"
"summer","August","Thursday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Thursday","Corendon Airlines","Turkey","Israel","short","",,"slight delay"
"summer","August","Thursday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","LOT (Independence Livery)","Poland","Israel","mid","",,"on time"
"summer","August","Thursday","El Al","France","Israel","mid","",,"on time"
"summer","August","Wednesday","KLM (SkyTeam Livery)","Netherlands","Israel","mid","",,"on time"
"summer","August","Thursday","Turkish Airlines","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","AnadoluJet","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","Wizz Air","Bulgaria","Israel","mid","",,"on time"
"summer","August","Thursday","VistaJet Malta","Greece","Israel","short","",,"on time"
"summer","August","Thursday","Aegean Airlines","Greece","Israel","short","",,"on time"
"summer","August","Wednesday","United Airlines","United States","Israel","long","",,"on time"
"summer","August","Thursday","Wizz Air","Hungary","Israel","mid","",,"on time"
"summer","August","Thursday","AirPink","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","Wizz Air","Italy","Israel","mid","",,"on time"
"summer","August","Thursday","Aegean Airlines","Greece","Israel","short","",,"heavy delay"
"summer","August","Thursday","Smartwings","Czechia","Israel","mid","",,"heavy delay"
"summer","August","Thursday","Ryanair","Italy","Israel","mid","",,"on time"
"summer","August","Thursday","Neos","Bulgaria","Israel","short","",,"on time"
"summer","August","Thursday","Pegasus","Turkey","Israel","short","",,"heavy delay"
"summer","August","Wednesday","El Al","Thailand","Israel","long","",,"on time"
"summer","August","Thursday","British Airways","United Kingdom","Israel","long","",,"heavy delay"
"summer","August","Wednesday","Neos","Portugal","Israel","long","",,"on time"
"summer","August","Thursday","Pegasus","Turkey","Israel","short","",,"on time"
"summer","August","Thursday","MNG Airlines","Turkey","Israel","short","",,"heavy delay"
"summer","August","Thursday","Lufthansa","Germany","Israel","mid","",,"slight delay"
"summer","August","Thursday","Wizz Air","Hungary","Israel","mid","",,"slight delay"
"summer","August","Thursday","Swiss","Switzerland","Israel","mid","",,"on time"
"summer","August","Thursday","Delta Air Lines","United States","Israel","long","",,"on time"
"summer","August","Thursday","El Al","Spain","Israel","long","",,"slight delay"
"summer","August","Thursday","San Marino Executive Aviation","Belgium","Israel","mid","",,"on time"
"summer","August","Thursday","Corendon Airlines","Greece","Israel","short","",,"slight delay"
"summer","August","Thursday","Lufthansa","Germany","Israel","mid","",,"slight delay"
